FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,166350.255293,166350.255293,166350.255293,166350.255293,166350.255293,166350.255293,166350.255293,151137.724686,151137.724686,207284.269608,146920.737336,207284.269608,207284.269608,172453.322783,172453.322783,206115.196932,93671.2109717,0,56209.9192969,73985.268865,151137.724686,151137.724686,151137.724686,151137.724686,151137.724686,151137.724686,151137.724686
1,166350.255293,NA,0,0,0,0,0,0,175437.449929,175437.449929,354324.808709,306900.565662,354324.808709,354324.808709,324654.654816,324654.654816,371918.142069,248632.751149,166350.255293,129273.30142,173246.46361,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929
2,166350.255293,0,NA,0,0,0,0,0,175437.449929,175437.449929,354324.808709,306900.565662,354324.808709,354324.808709,324654.654816,324654.654816,371918.142069,248632.751149,166350.255293,129273.30142,173246.46361,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929
3,166350.255293,0,0,NA,0,0,0,0,175437.449929,175437.449929,354324.808709,306900.565662,354324.808709,354324.808709,324654.654816,324654.654816,371918.142069,248632.751149,166350.255293,129273.30142,173246.46361,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929
4,166350.255293,0,0,0,NA,0,0,0,175437.449929,175437.449929,354324.808709,306900.565662,354324.808709,354324.808709,324654.654816,324654.654816,371918.142069,248632.751149,166350.255293,129273.30142,173246.46361,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929
5,166350.255293,0,0,0,0,NA,0,0,175437.449929,175437.449929,354324.808709,306900.565662,354324.808709,354324.808709,324654.654816,324654.654816,371918.142069,248632.751149,166350.255293,129273.30142,173246.46361,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929
6,166350.255293,0,0,0,0,0,NA,0,175437.449929,175437.449929,354324.808709,306900.565662,354324.808709,354324.808709,324654.654816,324654.654816,371918.142069,248632.751149,166350.255293,129273.30142,173246.46361,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929
7,166350.255293,0,0,0,0,0,0,NA,175437.449929,175437.449929,354324.808709,306900.565662,354324.808709,354324.808709,324654.654816,324654.654816,371918.142069,248632.751149,166350.255293,129273.30142,173246.46361,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929
8,151137.724686,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,NA,0,224767.827572,210626.61696,224767.827572,224767.827572,208364.047736,208364.047736,288787.688286,236193.695734,151137.724686,103539.577794,82447.1917698,0,0,0,0,0,0,0
9,151137.724686,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,175437.449929,0,NA,224767.827572,210626.61696,224767.827572,224767.827572,208364.047736,208364.047736,288787.688286,236193.695734,151137.724686,103539.577794,82447.1917698,0,0,0,0,0,0,0
