FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,66526.0218765,66526.0218765,144200.224195,144200.224195,248565.870169,248565.870169,248565.870169,159596.437839,159596.437839,203362.920525,150024.493677,208765.244909,218674.206721,175625.972303,175625.972303,203375.916868,88036.3303773,26732.6331369,73251.9431828,79972.6286393,NA,159596.437839,187291.819855,155389.659252,155389.659252,204694.688803,155389.659252
1,66526.0218765,NA,0,87562.9872622,87562.9872622,182389.168583,182389.168583,182389.168583,133381.795372,133381.795372,244381.649316,202852.131401,253919.135732,262720.669856,221227.346225,221227.346225,264482.162417,153570.286653,68239.3613493,34270.0119016,78605.8246322,NA,133381.795372,189510.990548,168102.010536,168102.010536,214615.451366,168102.010536
2,66526.0218765,0,NA,87562.9872622,87562.9872622,182389.168583,182389.168583,182389.168583,133381.795372,133381.795372,244381.649316,202852.131401,253919.135732,262720.669856,221227.346225,221227.346225,264482.162417,153570.286653,68239.3613493,34270.0119016,78605.8246322,NA,133381.795372,189510.990548,168102.010536,168102.010536,214615.451366,168102.010536
3,144200.224195,87562.9872622,87562.9872622,NA,0,121294.127503,121294.127503,121294.127503,193725.459122,193725.459122,331801.967757,289407.089071,341481.63297,350270.204143,308765.645509,308765.645509,347465.547494,220993.708875,153732.160334,114271.531842,162370.480338,NA,193725.459122,265215.669087,249826.99397,249826.99397,293266.06355,249826.99397
4,144200.224195,87562.9872622,87562.9872622,0,NA,121294.127503,121294.127503,121294.127503,193725.459122,193725.459122,331801.967757,289407.089071,341481.63297,350270.204143,308765.645509,308765.645509,347465.547494,220993.708875,153732.160334,114271.531842,162370.480338,NA,193725.459122,265215.669087,249826.99397,249826.99397,293266.06355,249826.99397
5,248565.870169,182389.168583,182389.168583,121294.127503,121294.127503,NA,0,0,218886.445541,218886.445541,403264.189049,376554.378965,417111.139788,424070.92935,386937.638928,386937.638928,443927.470092,333352.80673,248703.17268,191231.281021,232459.034294,NA,218886.445541,302621.076624,302547.8028,302547.8028,334088.28154,302547.8028
6,248565.870169,182389.168583,182389.168583,121294.127503,121294.127503,0,NA,0,218886.445541,218886.445541,403264.189049,376554.378965,417111.139788,424070.92935,386937.638928,386937.638928,443927.470092,333352.80673,248703.17268,191231.281021,232459.034294,NA,218886.445541,302621.076624,302547.8028,302547.8028,334088.28154,302547.8028
7,248565.870169,182389.168583,182389.168583,121294.127503,121294.127503,0,0,NA,218886.445541,218886.445541,403264.189049,376554.378965,417111.139788,424070.92935,386937.638928,386937.638928,443927.470092,333352.80673,248703.17268,191231.281021,232459.034294,NA,218886.445541,302621.076624,302547.8028,302547.8028,334088.28154,302547.8028
8,159596.437839,133381.795372,133381.795372,193725.459122,193725.459122,218886.445541,218886.445541,218886.445541,NA,0,200464.702389,199507.718272,217910.944262,222231.437551,194068.961011,194068.961011,275453.249367,232515.695796,136304.241468,100380.363163,81526.6066907,NA,0,83885.8235488,91890.0844142,91890.0844142,115459.668658,91890.0844142
9,159596.437839,133381.795372,133381.795372,193725.459122,193725.459122,218886.445541,218886.445541,218886.445541,0,NA,200464.702389,199507.718272,217910.944262,222231.437551,194068.961011,194068.961011,275453.249367,232515.695796,136304.241468,100380.363163,81526.6066907,NA,0,83885.8235488,91890.0844142,91890.0844142,115459.668658,91890.0844142
