FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,142337.974361,142337.974361,142337.974361,142337.974361,248527.055386,248527.055386,248527.055386,161846.395753,161846.395753,200620.685769,150004.016409,212113.923775,212113.923775,175947.449825,175947.449825,203439.148451,87489.7638851,27450.3716985,73471.1897335,80198.2533956,102592.24691,161846.395753,188540.759261,156914.798472,156914.798472,204951.289006,156914.798472
1,142337.974361,NA,0,0,0,117001.950042,117001.950042,117001.950042,189516.825537,189516.825537,325819.174857,286773.012935,341598.968874,341598.968874,306111.034589,306111.034589,345515.698509,220067.446626,151434.325728,110517.823412,158900.831758,140883.823056,189516.825537,262976.010705,247697.560994,247697.560994,289545.857124,247697.560994
2,142337.974361,0,NA,0,0,117001.950042,117001.950042,117001.950042,189516.825537,189516.825537,325819.174857,286773.012935,341598.968874,341598.968874,306111.034589,306111.034589,345515.698509,220067.446626,151434.325728,110517.823412,158900.831758,140883.823056,189516.825537,262976.010705,247697.560994,247697.560994,289545.857124,247697.560994
3,142337.974361,0,0,NA,0,117001.950042,117001.950042,117001.950042,189516.825537,189516.825537,325819.174857,286773.012935,341598.968874,341598.968874,306111.034589,306111.034589,345515.698509,220067.446626,151434.325728,110517.823412,158900.831758,140883.823056,189516.825537,262976.010705,247697.560994,247697.560994,289545.857124,247697.560994
4,142337.974361,0,0,0,NA,117001.950042,117001.950042,117001.950042,189516.825537,189516.825537,325819.174857,286773.012935,341598.968874,341598.968874,306111.034589,306111.034589,345515.698509,220067.446626,151434.325728,110517.823412,158900.831758,140883.823056,189516.825537,262976.010705,247697.560994,247697.560994,289545.857124,247697.560994
5,248527.055386,117001.950042,117001.950042,117001.950042,117001.950042,NA,0,0,223401.931838,223401.931838,404330.324377,378792.506153,423326.287883,423326.287883,390360.139718,390360.139718,445479.866679,332270.87804,249659.769725,192993.196296,235505.412127,203964.625368,223401.931838,310354.586954,308857.718383,308857.718383,340058.530954,308857.718383
6,248527.055386,117001.950042,117001.950042,117001.950042,117001.950042,0,NA,0,223401.931838,223401.931838,404330.324377,378792.506153,423326.287883,423326.287883,390360.139718,390360.139718,445479.866679,332270.87804,249659.769725,192993.196296,235505.412127,203964.625368,223401.931838,310354.586954,308857.718383,308857.718383,340058.530954,308857.718383
7,248527.055386,117001.950042,117001.950042,117001.950042,117001.950042,0,0,NA,223401.931838,223401.931838,404330.324377,378792.506153,423326.287883,423326.287883,390360.139718,390360.139718,445479.866679,332270.87804,249659.769725,192993.196296,235505.412127,203964.625368,223401.931838,310354.586954,308857.718383,308857.718383,340058.530954,308857.718383
8,161846.395753,189516.825537,189516.825537,189516.825537,189516.825537,223401.931838,223401.931838,223401.931838,NA,0,200809.587884,202339.913467,222604.808645,222604.808645,197070.688446,197070.688446,278452.056909,234129.334794,138063.750286,101786.635624,83844.4491213,62445.2408147,0,87569.7209746,95596.4866104,95596.4866104,117485.266687,95596.4866104
9,161846.395753,189516.825537,189516.825537,189516.825537,189516.825537,223401.931838,223401.931838,223401.931838,0,NA,200809.587884,202339.913467,222604.808645,222604.808645,197070.688446,197070.688446,278452.056909,234129.334794,138063.750286,101786.635624,83844.4491213,62445.2408147,0,87569.7209746,95596.4866104,95596.4866104,117485.266687,95596.4866104
10,200620.685769,325819.174857,325819.174857,325819.174857,325819.174857,404330.324377,404330.324377,404330.324377,200809.587884,200809.587884,NA,66978.4627195,22423.1691481,22423.1691481,29543.5781064,29543.5781064,112793.435489,191710.776568,180067.621058,217304.839808,170313.21271,200395.238962,200809.587884,129326.300156,105569.937105,105569.937105,109705.256496,105569.937105
