FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,66738.9415735,66738.9415735,143173.194835,143173.194835,241512.727594,236557.536981,NA,157851.575828,157851.575828,202768.554681,149858.511885,206251.714171,218628.410522,175202.508802,175202.508802,203043.380484,88555.902977,26613.3118288,72999.2153891,79666.4138799,NA,157851.575828,186491.324812,151158.644634,172392.653113,NA,172392.653113
1,66738.9415735,NA,0,88564.2709657,88564.2709657,176264.312264,169891.144718,NA,129380.182762,129380.182762,242602.10125,201798.03453,250393.049933,261372.307965,219670.542752,219670.542752,263599.267676,154573.733678,67660.3244834,31884.587586,76589.1016073,NA,129380.182762,186620.346654,161096.497467,186496.668071,NA,186496.668071
2,66738.9415735,0,NA,88564.2709657,88564.2709657,176264.312264,169891.144718,NA,129380.182762,129380.182762,242602.10125,201798.03453,250393.049933,261372.307965,219670.542752,219670.542752,263599.267676,154573.733678,67660.3244834,31884.587586,76589.1016073,NA,129380.182762,186620.346654,161096.497467,186496.668071,NA,186496.668071
3,143173.194835,88564.2709657,88564.2709657,NA,0,111308.775807,121119.599541,NA,193059.589669,193059.589669,331162.084419,288636.2217,338835.46723,349904.666406,308019.730133,308019.730133,346159.986129,220061.847379,153079.295673,114263.780906,162388.118906,NA,193059.589669,265011.969184,244935.783009,270869.143829,NA,270869.143829
4,143173.194835,88564.2709657,88564.2709657,0,NA,111308.775807,121119.599541,NA,193059.589669,193059.589669,331162.084419,288636.2217,338835.46723,349904.666406,308019.730133,308019.730133,346159.986129,220061.847379,153079.295673,114263.780906,162388.118906,NA,193059.589669,265011.969184,244935.783009,270869.143829,NA,270869.143829
5,241512.727594,176264.312264,176264.312264,111308.775807,111308.775807,NA,34014.0973953,NA,221867.879245,221867.879245,402561.145519,373294.445289,414070.19088,423239.814262,385040.330029,385040.330029,438988.791414,325530.594346,243374.818781,187645.521636,230701.097036,NA,221867.879245,305500.903531,299065.268797,324264.9371,NA,324264.9371
6,236557.536981,169891.144718,169891.144718,121119.599541,121119.599541,34014.0973953,NA,NA,196210.078972,196210.078972,383971.339945,359663.011035,396586.60737,405043.714113,368486.825059,368486.825059,428144.549151,323348.657875,234709.22303,175600.942834,214817.957697,NA,196210.078972,280292.843507,277204.662246,301747.881061,NA,301747.881061
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,157851.575828,129380.182762,129380.182762,193059.589669,193059.589669,221867.879245,196210.078972,NA,NA,0,200592.240937,198915.755731,216606.743424,222201.501939,193730.858336,193730.858336,274537.109413,231374.05984,134773.192997,98809.1302469,80221.1738888,NA,0,84089.689512,87990.8424748,109335.648473,NA,109335.648473
9,157851.575828,129380.182762,129380.182762,193059.589669,193059.589669,221867.879245,196210.078972,NA,0,NA,200592.240937,198915.755731,216606.743424,222201.501939,193730.858336,193730.858336,274537.109413,231374.05984,134773.192997,98809.1302469,80221.1738888,NA,0,84089.689512,87990.8424748,109335.648473,NA,109335.648473
10,202768.554681,242602.10125,242602.10125,331162.084419,331162.084419,402561.145519,383971.339945,NA,200592.240937,200592.240937,NA,68360.9495593,19497.5564597,21613.8336609,31575.527396,31575.527396,111989.956958,194204.298055,182812.719604,219682.12039,172887.765243,NA,200592.240937,132729.557624,112664.651949,95087.1033442,NA,95087.1033442
11,149858.511885,201798.03453,201798.03453,288636.2217,288636.2217,373294.445289,359663.011035,NA,198915.755731,198915.755731,68360.9495593,NA,62629.4762224,76017.7418229,37080.6031393,37080.6031393,75719.9849509,126634.165124,135574.627313,185656.297271,145448.553124,NA,198915.755731,155795.720805,121250.028274,117775.234399,NA,117775.234399
12,206251.714171,250393.049933,250393.049933,338835.46723,338835.46723,414070.19088,396586.60737,NA,216606.743424,216606.743424,19497.5564597,62629.4762224,NA,13391.8284606,31134.5617427,31134.5617427,94426.1685395,189066.764865,188106.354198,229181.88782,183509.529488,NA,216606.743424,151314.2785,129110.155991,113128.623106,NA,113128.623106
13,218628.410522,261372.307965,261372.307965,349904.666406,349904.666406,423239.814262,405043.714113,NA,222201.501939,222201.501939,21613.8336609,76017.7418229,13391.8284606,NA,43489.0075907,43489.0075907,103275.444377,202448.856042,199943.935105,239377.114633,193087.037099,NA,222201.501939,153354.353206,134261.060157,116237.300056,NA,116237.300056
14,175202.508802,219670.542752,219670.542752,308019.730133,308019.730133,385040.330029,368486.825059,NA,193730.858336,193730.858336,31575.527396,37080.6031393,31134.5617427,43489.0075907,NA,0,93445.1738908,162638.032389,156989.288939,199180.952179,154346.308375,NA,193730.858336,136706.408478,108453.724285,97507.2161895,NA,97507.2161895
15,175202.508802,219670.542752,219670.542752,308019.730133,308019.730133,385040.330029,368486.825059,NA,193730.858336,193730.858336,31575.527396,37080.6031393,31134.5617427,43489.0075907,0,NA,93445.1738908,162638.032389,156989.288939,199180.952179,154346.308375,NA,193730.858336,136706.408478,108453.724285,97507.2161895,NA,97507.2161895
16,203043.380484,263599.267676,263599.267676,346159.986129,346159.986129,438988.791414,428144.549151,NA,274537.109413,274537.109413,111989.956958,75719.9849509,94426.1685395,103275.444377,93445.1738908,93445.1738908,NA,146313.465,195959.595518,252573.991859,216932.827945,NA,274537.109413,228351.458224,195971.275,189379.633741,NA,189379.633741
17,88555.902977,154573.733678,154573.733678,220061.847379,220061.847379,325530.594346,323348.657875,NA,231374.05984,231374.05984,194204.298055,126634.165124,189066.764865,202448.856042,162638.032389,162638.032389,146313.465,NA,101049.409522,160235.5757,151762.872054,NA,231374.05984,233769.012145,193956.404125,206584.014536,NA,206584.014536
