FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,165652.247763,165652.247763,165652.247763,165652.247763,165652.247763,165652.247763,165652.247763,151457.278637,151457.278637,207329.348208,147292.071128,207329.348208,207329.348208,172666.531714,172666.531714,205592.416118,93531.9592207,0,56247.3074038,74364.0415584,151457.278637,151457.278637,151457.278637,151457.278637,151457.278637,151457.278637,151457.278637
1,165652.247763,NA,0,0,0,0,0,0,175685.208992,175685.208992,353619.249241,306497.79042,353619.249241,353619.249241,324033.361464,324033.361464,370715.311815,247911.224073,165652.247763,128805.183585,172756.506997,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992
2,165652.247763,0,NA,0,0,0,0,0,175685.208992,175685.208992,353619.249241,306497.79042,353619.249241,353619.249241,324033.361464,324033.361464,370715.311815,247911.224073,165652.247763,128805.183585,172756.506997,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992
3,165652.247763,0,0,NA,0,0,0,0,175685.208992,175685.208992,353619.249241,306497.79042,353619.249241,353619.249241,324033.361464,324033.361464,370715.311815,247911.224073,165652.247763,128805.183585,172756.506997,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992
4,165652.247763,0,0,0,NA,0,0,0,175685.208992,175685.208992,353619.249241,306497.79042,353619.249241,353619.249241,324033.361464,324033.361464,370715.311815,247911.224073,165652.247763,128805.183585,172756.506997,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992
5,165652.247763,0,0,0,0,NA,0,0,175685.208992,175685.208992,353619.249241,306497.79042,353619.249241,353619.249241,324033.361464,324033.361464,370715.311815,247911.224073,165652.247763,128805.183585,172756.506997,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992
6,165652.247763,0,0,0,0,0,NA,0,175685.208992,175685.208992,353619.249241,306497.79042,353619.249241,353619.249241,324033.361464,324033.361464,370715.311815,247911.224073,165652.247763,128805.183585,172756.506997,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992
7,165652.247763,0,0,0,0,0,0,NA,175685.208992,175685.208992,353619.249241,306497.79042,353619.249241,353619.249241,324033.361464,324033.361464,370715.311815,247911.224073,165652.247763,128805.183585,172756.506997,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992
8,151457.278637,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,NA,0,224193.466598,210430.249212,224193.466598,224193.466598,207811.942653,207811.942653,288331.816636,236176.127874,151457.278637,103795.243154,82297.5031074,0,0,0,0,0,0,0
9,151457.278637,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,175685.208992,0,NA,224193.466598,210430.249212,224193.466598,224193.466598,207811.942653,207811.942653,288331.816636,236176.127874,151457.278637,103795.243154,82297.5031074,0,0,0,0,0,0,0
10,207329.348208,353619.249241,353619.249241,353619.249241,353619.249241,353619.249241,353619.249241,353619.249241,224193.466598,224193.466598,NA,73589.4197316,0,0,36978.5781602,36978.5781602,110956.688485,200481.374947,207329.348208,225331.057225,181878.421436,224193.466598,224193.466598,224193.466598,224193.466598,224193.466598,224193.466598,224193.466598
11,147292.071128,306497.79042,306497.79042,306497.79042,306497.79042,306497.79042,306497.79042,306497.79042,210430.249212,210430.249212,73589.4197316,NA,73589.4197316,73589.4197316,37814.4281487,37814.4281487,78118.8690745,127001.130027,147292.071128,178808.140732,145492.099769,210430.249212,210430.249212,210430.249212,210430.249212,210430.249212,210430.249212,210430.249212
