FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,166311.47411,166311.47411,166311.47411,166311.47411,166311.47411,166311.47411,166311.47411,149353.630287,149353.630287,206992.129645,146895.715971,206992.129645,206992.129645,172480.739289,172480.739289,206475.137631,93879.2973983,0,149353.630287,73760.9356067,149353.630287,149353.630287,149353.630287,149353.630287,149353.630287,149353.630287,149353.630287
1,166311.47411,NA,0,0,0,0,0,0,173686.835544,173686.835544,352605.91,306724.244147,352605.91,352605.91,324359.519613,324359.519613,372178.410778,248953.311311,166311.47411,173686.835544,172829.015383,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544
2,166311.47411,0,NA,0,0,0,0,0,173686.835544,173686.835544,352605.91,306724.244147,352605.91,352605.91,324359.519613,324359.519613,372178.410778,248953.311311,166311.47411,173686.835544,172829.015383,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544
3,166311.47411,0,0,NA,0,0,0,0,173686.835544,173686.835544,352605.91,306724.244147,352605.91,352605.91,324359.519613,324359.519613,372178.410778,248953.311311,166311.47411,173686.835544,172829.015383,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544
4,166311.47411,0,0,0,NA,0,0,0,173686.835544,173686.835544,352605.91,306724.244147,352605.91,352605.91,324359.519613,324359.519613,372178.410778,248953.311311,166311.47411,173686.835544,172829.015383,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544
5,166311.47411,0,0,0,0,NA,0,0,173686.835544,173686.835544,352605.91,306724.244147,352605.91,352605.91,324359.519613,324359.519613,372178.410778,248953.311311,166311.47411,173686.835544,172829.015383,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544
6,166311.47411,0,0,0,0,0,NA,0,173686.835544,173686.835544,352605.91,306724.244147,352605.91,352605.91,324359.519613,324359.519613,372178.410778,248953.311311,166311.47411,173686.835544,172829.015383,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544
7,166311.47411,0,0,0,0,0,0,NA,173686.835544,173686.835544,352605.91,306724.244147,352605.91,352605.91,324359.519613,324359.519613,372178.410778,248953.311311,166311.47411,173686.835544,172829.015383,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544
8,149353.630287,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,NA,0,221486.68389,209643.938329,221486.68389,221486.68389,207442.846015,207442.846015,287871.065998,234706.175118,149353.630287,0,80990.4159906,0,0,0,0,0,0,0
9,149353.630287,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,173686.835544,0,NA,221486.68389,209643.938329,221486.68389,221486.68389,207442.846015,207442.846015,287871.065998,234706.175118,149353.630287,0,80990.4159906,0,0,0,0,0,0,0
