FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
13,164070.726287,213764.647522,213764.647522,215378.143646,215378.143646,227114.070264,227097.588657,226926.185645,76375.8518077,76375.8518077,1209.50888765,49250.9676236,430.936014466,nan,12344.0337904,12344.0337904,83671.1829453,164372.512497,158500.361605,168771.891904,147670.419648,72043.3313169,76375.8518077,76398.8477894,68768.494496,68754.715349,78387.8614664,68754.715349
14,153496.485784,206871.66957,206871.66957,208373.458604,208373.458604,220876.25297,220861.177871,220721.646871,90872.0455218,90872.0455218,10459.0945995,28045.0496295,11380.5766518,12344.0337904,nan,0.0,81430.8557426,145397.602544,148432.432098,166028.690136,144123.511265,89901.4984384,90872.0455218,91607.9450011,84291.4432204,84283.6598186,95488.5244251,84283.6598186
15,153496.485784,206871.66957,206871.66957,208373.458604,208373.458604,220876.25297,220861.177871,220721.646871,90872.0455218,90872.0455218,10459.0945995,28045.0496295,11380.5766518,12344.0337904,0.0,nan,81430.8557426,145397.602544,148432.432098,166028.690136,144123.511265,89901.4984384,90872.0455218,91607.9450011,84291.4432204,84283.6598186,95488.5244251,84283.6598186
16,185431.710777,248730.014871,248730.014871,249370.511976,249370.511976,264751.1845,264741.83159,264587.617353,180931.651569,180931.651569,83724.4434089,65748.1836978,82822.1303292,83671.1829453,81430.8557426,81430.8557426,nan,128655.716223,184770.365046,218376.225599,204312.702675,179809.000319,180931.651569,182104.361561,175433.812415,175430.272723,187094.59016,175430.272723
17,67928.9265278,126440.764145,126440.764145,125734.760873,125734.760873,143687.444379,143686.606603,143515.813274,161501.886397,161501.886397,162699.649157,108743.699353,163275.500636,164372.512497,145397.602544,145397.602544,128655.716223,nan,75819.1550224,126417.517517,134094.866233,158194.378077,161501.886397,164009.076354,158333.897249,158359.35245,182233.758201,158359.35245
18,3726.05466775,47237.7980717,47237.7980717,48532.2886471,48532.2886471,63628.7254807,63621.5018193,63457.8729474,65756.9366418,65756.9366418,155760.482376,125517.394898,157543.973024,158500.361605,148432.432098,148432.432098,184770.365046,75819.1550224,nan,29981.7048173,40011.320013,62344.6520379,65756.9366418,70644.6489897,68610.8967599,68647.5094167,101035.64817,68647.5094167
19,30134.6926405,11600.4753849,11600.4753849,13295.64706,13295.64706,25790.136701,25780.0522893,25635.6436815,13284.9485231,13284.9485231,165841.79304,154162.693413,167944.07315,168771.891904,166028.690136,166028.690136,218376.225599,126417.517517,29981.7048173,nan,34663.4823535,9962.72731462,13284.9485231,22729.0112915,27613.86228,27652.3146405,71329.3422984,27652.3146405
20,44440.3282395,56726.3665305,56726.3665305,58554.2073866,58554.2073866,69948.1579968,69933.4331961,69799.282343,24327.4644635,24327.4644635,144714.622264,134013.685583,146907.010925,147670.419648,144123.511265,144123.511265,204312.702675,134094.866233,40011.320013,34663.4823535,nan,22140.8028887,24327.4644635,29376.2887981,29120.6730806,29159.0938218,62216.01471,29159.0938218
21,64463.8159633,11696.4203742,11696.4203742,11696.4203742,11696.4203742,14134.7574856,14134.7574856,14134.7574856,350.681050251,350.681050251,71371.0731162,109671.283319,72043.3313169,72043.3313169,89901.4984384,89901.4984384,179809.000319,158194.378077,62344.6520379,9962.72731462,22140.8028887,nan,350.681050251,2461.3973026,2047.95403825,2047.95403825,6176.00169241,2047.95403825
22,68622.2701369,15576.4885379,15576.4885379,14944.5685607,14944.5685607,18803.8187499,18780.2792016,18693.2731094,0.0,0.0,73401.611554,110435.315592,76012.6978422,76375.8518077,90872.0455218,90872.0455218,180931.651569,161501.886397,65756.9366418,13284.9485231,24327.4644635,350.681050251,nan,395.822918404,874.692030108,894.875038173,6624.58972777,894.875038173
23,74411.7595184,26469.5269605,26469.5269605,28037.9164615,28037.9164615,34647.9463113,34623.8114112,34391.323238,395.822918404,395.822918404,73508.3084389,111807.461368,76195.1556269,76398.8477894,91607.9450011,91607.9450011,182104.361561,164009.076354,70644.6489897,22729.0112915,29376.2887981,2461.3973026,395.822918404,nan,1797.15931746,1807.28725341,4968.99535948,1807.28725341
24,73620.1759868,34116.7017901,34116.7017901,35846.8755031,35846.8755031,45088.6188998,45069.4434965,44858.6636065,874.692030108,874.692030108,65840.9965534,105697.742584,68528.0130167,68768.494496,84291.4432204,84291.4432204,175433.812415,158333.897249,68610.8967599,27613.86228,29120.6730806,2047.95403825,874.692030108,1797.15931746,nan,2.34010600648,5864.22078562,2.34010600648
25,73657.2328992,34155.3180593,34155.3180593,35885.3331211,35885.3331211,45123.6180345,45102.5209117,44858.6636065,894.875038173,894.875038173,65827.3202204,105699.065357,68514.9494547,68754.715349,84283.6598186,84283.6598186,175430.272723,158359.35245,68647.5094167,27652.3146405,29159.0938218,2047.95403825,894.875038173,1807.28725341,2.34010600648,nan,5864.22078562,0.0
26,107105.039573,81274.3925228,81274.3925228,82902.0038267,82902.0038267,89767.2087258,89767.2087258,89767.2087258,6624.58972777,6624.58972777,75714.3021997,118479.082336,78275.0258002,78387.8614664,95488.5244251,95488.5244251,187094.59016,182233.758201,101035.64817,71329.3422984,62216.01471,6176.00169241,6624.58972777,4968.99535948,5864.22078562,5864.22078562,nan,5864.22078562
27,73657.2328992,34155.3180593,34155.3180593,35885.3331211,35885.3331211,45123.6180345,45102.5209117,44858.6636065,894.875038173,894.875038173,65827.3202204,105699.065357,68514.9494547,68754.715349,84283.6598186,84283.6598186,175430.272723,158359.35245,68647.5094167,27652.3146405,29159.0938218,2047.95403825,894.875038173,1807.28725341,2.34010600648,0.0,5864.22078562,nan
