FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,42551.7808621,42551.7808621,42551.7808621,42551.7808621,42551.7808621,42551.7808621,42551.7808621,69264.3348064,69264.3348064,154906.031935,124876.605912,154906.031935,154906.031935,148462.758542,148462.758542,183523.961629,67574.2538401,0,25866.003853,39008.0648004,69264.3348064,69264.3348064,69264.3348064,69264.3348064,69264.3348064,69264.3348064,69264.3348064
1,42551.7808621,NA,0,0,0,0,0,0,5089.00017557,5089.00017557,209612.542656,187461.873304,209612.542656,209612.542656,206337.48555,206337.48555,248405.243215,125055.883196,42551.7808621,11613.5353509,55802.2242556,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557
2,42551.7808621,0,NA,0,0,0,0,0,5089.00017557,5089.00017557,209612.542656,187461.873304,209612.542656,209612.542656,206337.48555,206337.48555,248405.243215,125055.883196,42551.7808621,11613.5353509,55802.2242556,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557
3,42551.7808621,0,0,NA,0,0,0,0,5089.00017557,5089.00017557,209612.542656,187461.873304,209612.542656,209612.542656,206337.48555,206337.48555,248405.243215,125055.883196,42551.7808621,11613.5353509,55802.2242556,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557
4,42551.7808621,0,0,0,NA,0,0,0,5089.00017557,5089.00017557,209612.542656,187461.873304,209612.542656,209612.542656,206337.48555,206337.48555,248405.243215,125055.883196,42551.7808621,11613.5353509,55802.2242556,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557
5,42551.7808621,0,0,0,0,NA,0,0,5089.00017557,5089.00017557,209612.542656,187461.873304,209612.542656,209612.542656,206337.48555,206337.48555,248405.243215,125055.883196,42551.7808621,11613.5353509,55802.2242556,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557
6,42551.7808621,0,0,0,0,0,NA,0,5089.00017557,5089.00017557,209612.542656,187461.873304,209612.542656,209612.542656,206337.48555,206337.48555,248405.243215,125055.883196,42551.7808621,11613.5353509,55802.2242556,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557
7,42551.7808621,0,0,0,0,0,0,NA,5089.00017557,5089.00017557,209612.542656,187461.873304,209612.542656,209612.542656,206337.48555,206337.48555,248405.243215,125055.883196,42551.7808621,11613.5353509,55802.2242556,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557
8,69264.3348064,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,NA,0,68654.1968272,105220.457964,68654.1968272,68654.1968272,84162.8283005,84162.8283005,174850.597131,164123.84782,69264.3348064,8677.00509028,22471.9334272,0,0,0,0,0,0,0
9,69264.3348064,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,0,NA,68654.1968272,105220.457964,68654.1968272,68654.1968272,84162.8283005,84162.8283005,174850.597131,164123.84782,69264.3348064,8677.00509028,22471.9334272,0,0,0,0,0,0,0
10,154906.031935,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,68654.1968272,68654.1968272,NA,47204.3287171,0,0,9767.01856932,9767.01856932,80430.9106291,161288.872869,154906.031935,184429.045452,143446.67487,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272
11,124876.605912,187461.873304,187461.873304,187461.873304,187461.873304,187461.873304,187461.873304,187461.873304,105220.457964,105220.457964,47204.3287171,NA,47204.3287171,47204.3287171,27816.3479519,27816.3479519,65609.0406114,107928.970309,124876.605912,160838.78563,133254.518022,105220.457964,105220.457964,105220.457964,105220.457964,105220.457964,105220.457964,105220.457964
12,154906.031935,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,68654.1968272,68654.1968272,0,47204.3287171,NA,0,9767.01856932,9767.01856932,80430.9106291,161288.872869,154906.031935,184429.045452,143446.67487,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272
13,154906.031935,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,209612.542656,68654.1968272,68654.1968272,0,47204.3287171,0,NA,9767.01856932,9767.01856932,80430.9106291,161288.872869,154906.031935,184429.045452,143446.67487,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272,68654.1968272
14,148462.758542,206337.48555,206337.48555,206337.48555,206337.48555,206337.48555,206337.48555,206337.48555,84162.8283005,84162.8283005,9767.01856932,27816.3479519,9767.01856932,9767.01856932,NA,0,80399.5609732,144724.659193,148462.758542,180396.179793,143595.014685,84162.8283005,84162.8283005,84162.8283005,84162.8283005,84162.8283005,84162.8283005,84162.8283005
15,148462.758542,206337.48555,206337.48555,206337.48555,206337.48555,206337.48555,206337.48555,206337.48555,84162.8283005,84162.8283005,9767.01856932,27816.3479519,9767.01856932,9767.01856932,0,NA,80399.5609732,144724.659193,148462.758542,180396.179793,143595.014685,84162.8283005,84162.8283005,84162.8283005,84162.8283005,84162.8283005,84162.8283005,84162.8283005
16,183523.961629,248405.243215,248405.243215,248405.243215,248405.243215,248405.243215,248405.243215,248405.243215,174850.597131,174850.597131,80430.9106291,65609.0406114,80430.9106291,80430.9106291,80399.5609732,80399.5609732,NA,128137.519749,183523.961629,224253.186481,204074.297665,174850.597131,174850.597131,174850.597131,174850.597131,174850.597131,174850.597131,174850.597131
17,67574.2538401,125055.883196,125055.883196,125055.883196,125055.883196,125055.883196,125055.883196,125055.883196,164123.84782,164123.84782,161288.872869,107928.970309,161288.872869,161288.872869,144724.659193,144724.659193,128137.519749,NA,67574.2538401,123438.548724,132995.815152,164123.84782,164123.84782,164123.84782,164123.84782,164123.84782,164123.84782,164123.84782
18,0,42551.7808621,42551.7808621,42551.7808621,42551.7808621,42551.7808621,42551.7808621,42551.7808621,69264.3348064,69264.3348064,154906.031935,124876.605912,154906.031935,154906.031935,148462.758542,148462.758542,183523.961629,67574.2538401,NA,25866.003853,39008.0648004,69264.3348064,69264.3348064,69264.3348064,69264.3348064,69264.3348064,69264.3348064,69264.3348064
19,25866.003853,11613.5353509,11613.5353509,11613.5353509,11613.5353509,11613.5353509,11613.5353509,11613.5353509,8677.00509028,8677.00509028,184429.045452,160838.78563,184429.045452,184429.045452,180396.179793,180396.179793,224253.186481,123438.548724,25866.003853,NA,36038.6812697,8677.00509028,8677.00509028,8677.00509028,8677.00509028,8677.00509028,8677.00509028,8677.00509028
20,39008.0648004,55802.2242556,55802.2242556,55802.2242556,55802.2242556,55802.2242556,55802.2242556,55802.2242556,22471.9334272,22471.9334272,143446.67487,133254.518022,143446.67487,143446.67487,143595.014685,143595.014685,204074.297665,132995.815152,39008.0648004,36038.6812697,NA,22471.9334272,22471.9334272,22471.9334272,22471.9334272,22471.9334272,22471.9334272,22471.9334272
21,69264.3348064,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,0,0,68654.1968272,105220.457964,68654.1968272,68654.1968272,84162.8283005,84162.8283005,174850.597131,164123.84782,69264.3348064,8677.00509028,22471.9334272,NA,0,0,0,0,0,0
22,69264.3348064,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,5089.00017557,0,0,68654.1968272,105220.457964,68654.1968272,68654.1968272,84162.8283005,84162.8283005,174850.597131,164123.84782,69264.3348064,8677.00509028,22471.9334272,0,NA,0,0,0,0,0
