FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,50310.9989182,50310.9989182,54806.505084,54806.505084,221689.439107,221689.439107,221689.439107,112811.973958,112811.973958,184508.819826,140379.966995,198641.867882,211608.486701,165950.099737,165950.099737,189532.91983,70972.1084088,15676.9700718,60276.7293099,59206.1696471,NA,112811.973958,170417.897042,121299.48402,121299.48402,195607.618258,121299.48402
1,50310.9989182,NA,0,7456.2113772,7456.2113772,157366.58568,157366.58568,157366.58568,64997.3534623,64997.3534623,224364.67086,192120.786991,242660.076918,253991.94503,210667.898819,210667.898819,251404.415749,138940.424597,57442.8043531,22588.9541612,63415.1190323,NA,64997.3534623,171919.140431,133841.336686,133841.336686,204894.48344,133841.336686
2,50310.9989182,0,NA,7456.2113772,7456.2113772,157366.58568,157366.58568,157366.58568,64997.3534623,64997.3534623,224364.67086,192120.786991,242660.076918,253991.94503,210667.898819,210667.898819,251404.415749,138940.424597,57442.8043531,22588.9541612,63415.1190323,NA,64997.3534623,171919.140431,133841.336686,133841.336686,204894.48344,133841.336686
3,54806.505084,7456.2113772,7456.2113772,NA,0,39336.4374544,39336.4374544,39336.4374544,56896.9448207,56896.9448207,245384.57914,207277.339936,262558.925738,274677.78882,229917.342582,229917.342582,259604.06441,129869.915027,74039.9613934,44352.3452512,86860.2071396,NA,56896.9448207,192049.873379,156040.853343,156040.853343,226032.292582,156040.853343
4,54806.505084,7456.2113772,7456.2113772,0,NA,39336.4374544,39336.4374544,39336.4374544,56896.9448207,56896.9448207,245384.57914,207277.339936,262558.925738,274677.78882,229917.342582,229917.342582,259604.06441,129869.915027,74039.9613934,44352.3452512,86860.2071396,NA,56896.9448207,192049.873379,156040.853343,156040.853343,226032.292582,156040.853343
5,221689.439107,157366.58568,157366.58568,39336.4374544,39336.4374544,NA,0,0,94132.1584189,94132.1584189,358748.113729,344909.945418,380713.81872,388814.735708,352299.645054,352299.645054,413459.87025,312247.407015,223216.955773,165493.422404,196466.332867,NA,94132.1584189,254485.854215,244528.289034,244528.289034,292383.693445,244528.289034
6,221689.439107,157366.58568,157366.58568,39336.4374544,39336.4374544,0,NA,0,94132.1584189,94132.1584189,358748.113729,344909.945418,380713.81872,388814.735708,352299.645054,352299.645054,413459.87025,312247.407015,223216.955773,165493.422404,196466.332867,NA,94132.1584189,254485.854215,244528.289034,244528.289034,292383.693445,244528.289034
7,221689.439107,157366.58568,157366.58568,39336.4374544,39336.4374544,0,0,NA,94132.1584189,94132.1584189,358748.113729,344909.945418,380713.81872,388814.735708,352299.645054,352299.645054,413459.87025,312247.407015,223216.955773,165493.422404,196466.332867,NA,94132.1584189,254485.854215,244528.289034,244528.289034,292383.693445,244528.289034
8,112811.973958,64997.3534623,64997.3534623,56896.9448207,56896.9448207,94132.1584189,94132.1584189,94132.1584189,NA,0,116359.261143,130928.334527,141847.778746,146513.645208,119118.07025,119118.07025,204744.273244,195603.129209,100530.828818,49820.2048386,44899.5186998,NA,0,4675.01760931,6976.29687476,6976.29687476,41387.4848009,6976.29687476
9,112811.973958,64997.3534623,64997.3534623,56896.9448207,56896.9448207,94132.1584189,94132.1584189,94132.1584189,0,NA,116359.261143,130928.334527,141847.778746,146513.645208,119118.07025,119118.07025,204744.273244,195603.129209,100530.828818,49820.2048386,44899.5186998,NA,0,4675.01760931,6976.29687476,6976.29687476,41387.4848009,6976.29687476
10,184508.819826,224364.67086,224364.67086,245384.57914,245384.57914,358748.113729,358748.113729,358748.113729,116359.261143,116359.261143,NA,53549.5872266,11222.6736264,13524.6247533,15148.5326821,15148.5326821,96104.3327945,174886.238765,165707.108037,206422.289412,155783.503532,NA,116359.261143,117247.128929,77466.093161,77466.093161,100142.000475,77466.093161
11,140379.966995,192120.786991,192120.786991,207277.339936,207277.339936,344909.945418,344909.945418,344909.945418,130928.334527,130928.334527,53549.5872266,NA,55617.1627504,69704.1754289,29641.4426038,29641.4426038,66353.167376,115492.874694,128297.786628,180696.452378,137155.38381,NA,130928.334527,145368.443759,107001.068085,107001.068085,142409.103344,107001.068085
12,198641.867882,242660.076918,242660.076918,262558.925738,262558.925738,380713.81872,380713.81872,380713.81872,141847.778746,141847.778746,11222.6736264,55617.1627504,NA,5477.38970139,24229.0384561,24229.0384561,87037.9748291,179428.644364,181880.100676,225885.588516,176263.75856,NA,141847.778746,144338.395681,104396.107985,104396.107985,126846.671862,104396.107985
13,211608.486701,253991.94503,253991.94503,274677.78882,274677.78882,388814.735708,388814.735708,388814.735708,146513.645208,146513.645208,13524.6247533,69704.1754289,5477.38970139,NA,36586.6354566,36586.6354566,97941.6094596,193505.046452,194153.380223,236509.490053,186061.337976,NA,146513.645208,146956.061035,107474.990246,107474.990246,128312.070124,107474.990246
14,165950.099737,210667.898819,210667.898819,229917.342582,229917.342582,352299.645054,352299.645054,352299.645054,119118.07025,119118.07025,15148.5326821,29641.4426038,24229.0384561,36586.6354566,NA,0,84391.0555913,151256.80681,149270.612735,194653.703177,146291.983571,NA,119118.07025,127142.158765,86733.0852735,86733.0852735,116886.144677,86733.0852735
15,165950.099737,210667.898819,210667.898819,229917.342582,229917.342582,352299.645054,352299.645054,352299.645054,119118.07025,119118.07025,15148.5326821,29641.4426038,24229.0384561,36586.6354566,0,NA,84391.0555913,151256.80681,149270.612735,194653.703177,146291.983571,NA,119118.07025,127142.158765,86733.0852735,86733.0852735,116886.144677,86733.0852735
16,189532.91983,251404.415749,251404.415749,259604.06441,259604.06441,413459.87025,413459.87025,413459.87025,204744.273244,204744.273244,96104.3327945,66353.167376,87037.9748291,97941.6094596,84391.0555913,84391.0555913,NA,132579.137277,187412.693695,245478.653649,206239.03765,NA,204744.273244,217099.972859,177721.672967,177721.672967,209169.420672,177721.672967
17,70972.1084088,138940.424597,138940.424597,129869.915027,129869.915027,312247.407015,312247.407015,312247.407015,195603.129209,195603.129209,174886.238765,115492.874694,179428.644364,193505.046452,151256.80681,151256.80681,132579.137277,NA,91162.64927,152535.173804,138116.874656,NA,195603.129209,221704.021912,169931.03862,169931.03862,234214.074523,169931.03862
18,15676.9700718,57442.8043531,57442.8043531,74039.9613934,74039.9613934,223216.955773,223216.955773,223216.955773,100530.828818,100530.828818,165707.108037,128297.786628,181880.100676,194153.380223,149270.612735,149270.612735,187412.693695,91162.64927,NA,55317.5264942,41252.3510375,NA,100530.828818,149441.755269,99369.9394908,99369.9394908,173487.790291,99369.9394908
19,60276.7293099,22588.9541612,22588.9541612,44352.3452512,44352.3452512,165493.422404,165493.422404,165493.422404,49820.2048386,49820.2048386,206422.289412,180696.452378,225885.588516,236509.490053,194653.703177,194653.703177,245478.653649,152535.173804,55317.5264942,NA,41611.6253424,NA,49820.2048386,144622.774926,107912.675521,107912.675521,178036.778326,107912.675521
20,59206.1696471,63415.1190323,63415.1190323,86860.2071396,86860.2071396,196466.332867,196466.332867,196466.332867,44899.5186998,44899.5186998,155783.503532,137155.38381,176263.75856,186061.337976,146291.983571,146291.983571,206239.03765,138116.874656,41252.3510375,41611.6253424,NA,NA,44899.5186998,96421.7574115,55332.0456088,55332.0456088,127161.550488,55332.0456088
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,112811.973958,64997.3534623,64997.3534623,56896.9448207,56896.9448207,94132.1584189,94132.1584189,94132.1584189,0,0,116359.261143,130928.334527,141847.778746,146513.645208,119118.07025,119118.07025,204744.273244,195603.129209,100530.828818,49820.2048386,44899.5186998,NA,NA,4675.01760931,6976.29687476,6976.29687476,41387.4848009,6976.29687476
23,170417.897042,171919.140431,171919.140431,192049.873379,192049.873379,254485.854215,254485.854215,254485.854215,4675.01760931,4675.01760931,117247.128929,145368.443759,144338.395681,146956.061035,127142.158765,127142.158765,217099.972859,221704.021912,149441.755269,144622.774926,96421.7574115,NA,4675.01760931,NA,16805.4250585,16805.4250585,24959.8908234,16805.4250585
