FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,166249.126356,166249.126356,166249.126356,166249.126356,166249.126356,166249.126356,166249.126356,149193.97839,149193.97839,206896.638881,146620.243446,206896.638881,206896.638881,172336.444257,172336.444257,206653.852568,93956.0288521,0,149193.97839,73653.2456087,149193.97839,149193.97839,149193.97839,149193.97839,149193.97839,149193.97839,149193.97839
1,166249.126356,NA,0,0,0,0,0,0,173409.131871,173409.131871,352438.136785,306448.237379,352438.136785,352438.136785,324155.723125,324155.723125,372289.237794,248901.779086,166249.126356,173409.131871,172690.047872,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871
2,166249.126356,0,NA,0,0,0,0,0,173409.131871,173409.131871,352438.136785,306448.237379,352438.136785,352438.136785,324155.723125,324155.723125,372289.237794,248901.779086,166249.126356,173409.131871,172690.047872,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871
3,166249.126356,0,0,NA,0,0,0,0,173409.131871,173409.131871,352438.136785,306448.237379,352438.136785,352438.136785,324155.723125,324155.723125,372289.237794,248901.779086,166249.126356,173409.131871,172690.047872,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871
4,166249.126356,0,0,0,NA,0,0,0,173409.131871,173409.131871,352438.136785,306448.237379,352438.136785,352438.136785,324155.723125,324155.723125,372289.237794,248901.779086,166249.126356,173409.131871,172690.047872,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871
5,166249.126356,0,0,0,0,NA,0,0,173409.131871,173409.131871,352438.136785,306448.237379,352438.136785,352438.136785,324155.723125,324155.723125,372289.237794,248901.779086,166249.126356,173409.131871,172690.047872,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871
6,166249.126356,0,0,0,0,0,NA,0,173409.131871,173409.131871,352438.136785,306448.237379,352438.136785,352438.136785,324155.723125,324155.723125,372289.237794,248901.779086,166249.126356,173409.131871,172690.047872,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871
7,166249.126356,0,0,0,0,0,0,NA,173409.131871,173409.131871,352438.136785,306448.237379,352438.136785,352438.136785,324155.723125,324155.723125,372289.237794,248901.779086,166249.126356,173409.131871,172690.047872,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871
8,149193.97839,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,NA,0,221471.955066,209646.115112,221471.955066,221471.955066,207386.675956,207386.675956,287985.092483,234713.388035,149193.97839,0,80948.4702817,0,0,0,0,0,0,0
9,149193.97839,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,173409.131871,0,NA,221471.955066,209646.115112,221471.955066,221471.955066,207386.675956,207386.675956,287985.092483,234713.388035,149193.97839,0,80948.4702817,0,0,0,0,0,0,0
10,206896.638881,352438.136785,352438.136785,352438.136785,352438.136785,352438.136785,352438.136785,352438.136785,221471.955066,221471.955066,NA,76033.310029,0,0,38303.7051889,38303.7051889,113918.591946,202164.574636,206896.638881,221471.955066,180388.41266,221471.955066,221471.955066,221471.955066,221471.955066,221471.955066,221471.955066,221471.955066
