FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,156552.309213,156552.309213,156552.309213,156552.309213,156552.309213,156552.309213,156552.309213,163282.732521,163282.732521,205806.152104,151774.872232,205806.152104,205806.152104,177883.7407,177883.7407,205357.017839,90015.7156042,28805.1438612,60041.3549848,81743.802417,163282.732521,163282.732521,163282.732521,158981.189627,158981.189627,206085.099381,158981.189627
1,156552.309213,NA,0,0,0,0,0,0,181901.027339,181901.027339,341539.549766,299992.272587,341539.549766,341539.549766,318074.528431,318074.528431,360843.735289,238796.487805,165225.706196,122986.880644,167759.419513,181901.027339,181901.027339,181901.027339,255248.904789,255248.904789,294673.850382,255248.904789
2,156552.309213,0,NA,0,0,0,0,0,181901.027339,181901.027339,341539.549766,299992.272587,341539.549766,341539.549766,318074.528431,318074.528431,360843.735289,238796.487805,165225.706196,122986.880644,167759.419513,181901.027339,181901.027339,181901.027339,255248.904789,255248.904789,294673.850382,255248.904789
3,156552.309213,0,0,NA,0,0,0,0,181901.027339,181901.027339,341539.549766,299992.272587,341539.549766,341539.549766,318074.528431,318074.528431,360843.735289,238796.487805,165225.706196,122986.880644,167759.419513,181901.027339,181901.027339,181901.027339,255248.904789,255248.904789,294673.850382,255248.904789
4,156552.309213,0,0,0,NA,0,0,0,181901.027339,181901.027339,341539.549766,299992.272587,341539.549766,341539.549766,318074.528431,318074.528431,360843.735289,238796.487805,165225.706196,122986.880644,167759.419513,181901.027339,181901.027339,181901.027339,255248.904789,255248.904789,294673.850382,255248.904789
5,156552.309213,0,0,0,0,NA,0,0,181901.027339,181901.027339,341539.549766,299992.272587,341539.549766,341539.549766,318074.528431,318074.528431,360843.735289,238796.487805,165225.706196,122986.880644,167759.419513,181901.027339,181901.027339,181901.027339,255248.904789,255248.904789,294673.850382,255248.904789
6,156552.309213,0,0,0,0,0,NA,0,181901.027339,181901.027339,341539.549766,299992.272587,341539.549766,341539.549766,318074.528431,318074.528431,360843.735289,238796.487805,165225.706196,122986.880644,167759.419513,181901.027339,181901.027339,181901.027339,255248.904789,255248.904789,294673.850382,255248.904789
7,156552.309213,0,0,0,0,0,0,NA,181901.027339,181901.027339,341539.549766,299992.272587,341539.549766,341539.549766,318074.528431,318074.528431,360843.735289,238796.487805,165225.706196,122986.880644,167759.419513,181901.027339,181901.027339,181901.027339,255248.904789,255248.904789,294673.850382,255248.904789
8,163282.732521,181901.027339,181901.027339,181901.027339,181901.027339,181901.027339,181901.027339,181901.027339,NA,0,217872.688136,210996.865695,217872.688136,217872.688136,207173.910544,207173.910544,287380.941076,239814.13379,140093.599612,110524.386267,86182.6963593,0,0,0,106844.840843,106844.840843,128682.154405,106844.840843
9,163282.732521,181901.027339,181901.027339,181901.027339,181901.027339,181901.027339,181901.027339,181901.027339,0,NA,217872.688136,210996.865695,217872.688136,217872.688136,207173.910544,207173.910544,287380.941076,239814.13379,140093.599612,110524.386267,86182.6963593,0,0,0,106844.840843,106844.840843,128682.154405,106844.840843
10,205806.152104,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,217872.688136,217872.688136,NA,66700.798179,0,0,30073.5545544,30073.5545544,108276.014291,193445.376944,183973.647484,218650.241495,175848.282065,217872.688136,217872.688136,217872.688136,111822.549653,111822.549653,115837.275157,111822.549653
11,151774.872232,299992.272587,299992.272587,299992.272587,299992.272587,299992.272587,299992.272587,299992.272587,210996.865695,210996.865695,66700.798179,NA,66700.798179,66700.798179,37424.0443918,37424.0443918,76587.1965742,127018.718671,135392.089551,178791.321829,145889.924643,210996.865695,210996.865695,210996.865695,119877.735828,119877.735828,146835.485693,119877.735828
12,205806.152104,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,217872.688136,217872.688136,0,66700.798179,NA,0,30073.5545544,30073.5545544,108276.014291,193445.376944,183973.647484,218650.241495,175848.282065,217872.688136,217872.688136,217872.688136,111822.549653,111822.549653,115837.275157,111822.549653
13,205806.152104,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,341539.549766,217872.688136,217872.688136,0,66700.798179,0,NA,30073.5545544,30073.5545544,108276.014291,193445.376944,183973.647484,218650.241495,175848.282065,217872.688136,217872.688136,217872.688136,111822.549653,111822.549653,115837.275157,111822.549653
14,177883.7407,318074.528431,318074.528431,318074.528431,318074.528431,318074.528431,318074.528431,318074.528431,207173.910544,207173.910544,30073.5545544,37424.0443918,30073.5545544,30073.5545544,NA,0,93962.1955156,163543.551492,157423.076339,195151.340944,155317.614572,207173.910544,207173.910544,207173.910544,105496.342562,105496.342562,121685.723002,105496.342562
15,177883.7407,318074.528431,318074.528431,318074.528431,318074.528431,318074.528431,318074.528431,318074.528431,207173.910544,207173.910544,30073.5545544,37424.0443918,30073.5545544,30073.5545544,0,NA,93962.1955156,163543.551492,157423.076339,195151.340944,155317.614572,207173.910544,207173.910544,207173.910544,105496.342562,105496.342562,121685.723002,105496.342562
16,205357.017839,360843.735289,360843.735289,360843.735289,360843.735289,360843.735289,360843.735289,360843.735289,287380.941076,287380.941076,108276.014291,76587.1965742,108276.014291,108276.014291,93962.1955156,93962.1955156,NA,146581.942695,196666.098562,244658.874062,218309.928451,287380.941076,287380.941076,287380.941076,194794.429787,194794.429787,215602.998075,194794.429787
17,90015.7156042,238796.487805,238796.487805,238796.487805,238796.487805,238796.487805,238796.487805,238796.487805,239814.13379,239814.13379,193445.376944,127018.718671,193445.376944,193445.376944,163543.551492,163543.551492,146581.942695,NA,102398.601543,148599.263337,153639.004505,239814.13379,239814.13379,239814.13379,198315.200846,198315.200846,241513.686675,198315.200846
18,28805.1438612,165225.706196,165225.706196,165225.706196,165225.706196,165225.706196,165225.706196,165225.706196,140093.599612,140093.599612,183973.647484,135392.089551,183973.647484,183973.647484,157423.076339,157423.076339,196666.098562,102398.601543,NA,50133.7749767,55405.8983821,140093.599612,140093.599612,140093.599612,130333.471052,130333.471052,177426.305322,130333.471052
