FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,41247.4331504,41247.4331504,41247.4331504,41247.4331504,41247.4331504,41247.4331504,41247.4331504,22943.4927148,22943.4927148,154058.882007,124288.523745,154058.882007,154058.882007,148287.437274,148287.437274,183002.959108,67149.1303675,0,22943.4927148,39800.6318986,22943.4927148,22943.4927148,22943.4927148,22943.4927148,22943.4927148,22943.4927148,22943.4927148
1,41247.4331504,NA,0,0,0,0,0,0,5300.85576347,5300.85576347,207828.668379,186548.828988,207828.668379,207828.668379,205017.926191,205017.926191,247621.603554,124634.105714,41247.4331504,5300.85576347,55573.1383984,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347
2,41247.4331504,0,NA,0,0,0,0,0,5300.85576347,5300.85576347,207828.668379,186548.828988,207828.668379,207828.668379,205017.926191,205017.926191,247621.603554,124634.105714,41247.4331504,5300.85576347,55573.1383984,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347
3,41247.4331504,0,0,NA,0,0,0,0,5300.85576347,5300.85576347,207828.668379,186548.828988,207828.668379,207828.668379,205017.926191,205017.926191,247621.603554,124634.105714,41247.4331504,5300.85576347,55573.1383984,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347
4,41247.4331504,0,0,0,NA,0,0,0,5300.85576347,5300.85576347,207828.668379,186548.828988,207828.668379,207828.668379,205017.926191,205017.926191,247621.603554,124634.105714,41247.4331504,5300.85576347,55573.1383984,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347
5,41247.4331504,0,0,0,0,NA,0,0,5300.85576347,5300.85576347,207828.668379,186548.828988,207828.668379,207828.668379,205017.926191,205017.926191,247621.603554,124634.105714,41247.4331504,5300.85576347,55573.1383984,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347
6,41247.4331504,0,0,0,0,0,NA,0,5300.85576347,5300.85576347,207828.668379,186548.828988,207828.668379,207828.668379,205017.926191,205017.926191,247621.603554,124634.105714,41247.4331504,5300.85576347,55573.1383984,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347
7,41247.4331504,0,0,0,0,0,0,NA,5300.85576347,5300.85576347,207828.668379,186548.828988,207828.668379,207828.668379,205017.926191,205017.926191,247621.603554,124634.105714,41247.4331504,5300.85576347,55573.1383984,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347
8,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,NA,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,0,0,0,0,0,0,0
9,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,NA,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,0,0,0,0,0,0,0
10,154058.882007,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,56866.394846,56866.394846,NA,46659.5409448,0,0,8177.32501125,8177.32501125,80339.7384226,160961.412764,154058.882007,56866.394846,142147.771181,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846
11,124288.523745,186548.828988,186548.828988,186548.828988,186548.828988,186548.828988,186548.828988,186548.828988,104830.694419,104830.694419,46659.5409448,NA,46659.5409448,46659.5409448,27047.2386182,27047.2386182,65477.45648,106652.679586,124288.523745,104830.694419,132176.957939,104830.694419,104830.694419,104830.694419,104830.694419,104830.694419,104830.694419,104830.694419
12,154058.882007,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,56866.394846,56866.394846,0,46659.5409448,NA,0,8177.32501125,8177.32501125,80339.7384226,160961.412764,154058.882007,56866.394846,142147.771181,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846
13,154058.882007,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,207828.668379,56866.394846,56866.394846,0,46659.5409448,0,NA,8177.32501125,8177.32501125,80339.7384226,160961.412764,154058.882007,56866.394846,142147.771181,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846,56866.394846
14,148287.437274,205017.926191,205017.926191,205017.926191,205017.926191,205017.926191,205017.926191,205017.926191,83064.4776602,83064.4776602,8177.32501125,27047.2386182,8177.32501125,8177.32501125,NA,0,80579.6086246,144277.625451,148287.437274,83064.4776602,142562.654644,83064.4776602,83064.4776602,83064.4776602,83064.4776602,83064.4776602,83064.4776602,83064.4776602
15,148287.437274,205017.926191,205017.926191,205017.926191,205017.926191,205017.926191,205017.926191,205017.926191,83064.4776602,83064.4776602,8177.32501125,27047.2386182,8177.32501125,8177.32501125,0,NA,80579.6086246,144277.625451,148287.437274,83064.4776602,142562.654644,83064.4776602,83064.4776602,83064.4776602,83064.4776602,83064.4776602,83064.4776602,83064.4776602
16,183002.959108,247621.603554,247621.603554,247621.603554,247621.603554,247621.603554,247621.603554,247621.603554,174582.923378,174582.923378,80339.7384226,65477.45648,80339.7384226,80339.7384226,80579.6086246,80579.6086246,NA,127764.798546,183002.959108,174582.923378,203088.195937,174582.923378,174582.923378,174582.923378,174582.923378,174582.923378,174582.923378,174582.923378
17,67149.1303675,124634.105714,124634.105714,124634.105714,124634.105714,124634.105714,124634.105714,124634.105714,122659.578753,122659.578753,160961.412764,106652.679586,160961.412764,160961.412764,144277.625451,144277.625451,127764.798546,NA,67149.1303675,122659.578753,131991.06302,122659.578753,122659.578753,122659.578753,122659.578753,122659.578753,122659.578753,122659.578753
18,0,41247.4331504,41247.4331504,41247.4331504,41247.4331504,41247.4331504,41247.4331504,41247.4331504,22943.4927148,22943.4927148,154058.882007,124288.523745,154058.882007,154058.882007,148287.437274,148287.437274,183002.959108,67149.1303675,NA,22943.4927148,39800.6318986,22943.4927148,22943.4927148,22943.4927148,22943.4927148,22943.4927148,22943.4927148,22943.4927148
19,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,NA,21652.3666206,0,0,0,0,0,0,0
20,39800.6318986,55573.1383984,55573.1383984,55573.1383984,55573.1383984,55573.1383984,55573.1383984,55573.1383984,21652.3666206,21652.3666206,142147.771181,132176.957939,142147.771181,142147.771181,142562.654644,142562.654644,203088.195937,131991.06302,39800.6318986,21652.3666206,NA,21652.3666206,21652.3666206,21652.3666206,21652.3666206,21652.3666206,21652.3666206,21652.3666206
21,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,NA,0,0,0,0,0,0
22,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,0,NA,0,0,0,0,0
23,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,0,0,NA,0,0,0,0
24,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,0,0,0,NA,0,0,0
25,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,0,0,0,0,NA,0,0
26,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,0,0,0,0,0,NA,0
27,22943.4927148,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,5300.85576347,0,0,56866.394846,104830.694419,56866.394846,56866.394846,83064.4776602,83064.4776602,174582.923378,122659.578753,22943.4927148,0,21652.3666206,0,0,0,0,0,0,NA
