FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,49635.3374851,49635.3374851,49635.3374851,49635.3374851,219003.534376,219003.534376,219003.534376,106322.240649,106322.240649,175884.901173,139739.857525,198985.432818,198985.432818,166138.02035,166138.02035,188748.845965,69042.0787573,15402.421041,58201.253709,59337.4577712,87685.9753277,106322.240649,168343.48646,121811.821249,121811.821249,195549.212016,121811.821249
1,49635.3374851,NA,0,0,0,22052.3250422,22052.3250422,22052.3250422,43261.2057336,43261.2057336,214468.420067,190141.491406,241086.026462,241086.026462,209521.024627,209521.024627,250612.809561,127927.652067,56645.5631887,16144.3644693,60375.9219054,56345.5642084,43261.2057336,165413.81678,130243.478538,130243.478538,200771.17801,130243.478538
2,49635.3374851,0,NA,0,0,22052.3250422,22052.3250422,22052.3250422,43261.2057336,43261.2057336,214468.420067,190141.491406,241086.026462,241086.026462,209521.024627,209521.024627,250612.809561,127927.652067,56645.5631887,16144.3644693,60375.9219054,56345.5642084,43261.2057336,165413.81678,130243.478538,130243.478538,200771.17801,130243.478538
3,49635.3374851,0,0,NA,0,22052.3250422,22052.3250422,22052.3250422,43261.2057336,43261.2057336,214468.420067,190141.491406,241086.026462,241086.026462,209521.024627,209521.024627,250612.809561,127927.652067,56645.5631887,16144.3644693,60375.9219054,56345.5642084,43261.2057336,165413.81678,130243.478538,130243.478538,200771.17801,130243.478538
4,49635.3374851,0,0,0,NA,22052.3250422,22052.3250422,22052.3250422,43261.2057336,43261.2057336,214468.420067,190141.491406,241086.026462,241086.026462,209521.024627,209521.024627,250612.809561,127927.652067,56645.5631887,16144.3644693,60375.9219054,56345.5642084,43261.2057336,165413.81678,130243.478538,130243.478538,200771.17801,130243.478538
5,219003.534376,22052.3250422,22052.3250422,22052.3250422,22052.3250422,NA,0,0,87264.6549605,87264.6549605,345185.457963,343832.202588,375395.000341,375395.000341,349939.857506,349939.857506,411681.125856,306329.245316,221692.091936,161057.639262,195360.265932,163516.285818,87264.6549605,246827.300307,240699.961079,240699.961079,284397.227182,240699.961079
6,219003.534376,22052.3250422,22052.3250422,22052.3250422,22052.3250422,0,NA,0,87264.6549605,87264.6549605,345185.457963,343832.202588,375395.000341,375395.000341,349939.857506,349939.857506,411681.125856,306329.245316,221692.091936,161057.639262,195360.265932,163516.285818,87264.6549605,246827.300307,240699.961079,240699.961079,284397.227182,240699.961079
7,219003.534376,22052.3250422,22052.3250422,22052.3250422,22052.3250422,0,0,NA,87264.6549605,87264.6549605,345185.457963,343832.202588,375395.000341,375395.000341,349939.857506,349939.857506,411681.125856,306329.245316,221692.091936,161057.639262,195360.265932,163516.285818,87264.6549605,246827.300307,240699.961079,240699.961079,284397.227182,240699.961079
8,106322.240649,43261.2057336,43261.2057336,43261.2057336,43261.2057336,87264.6549605,87264.6549605,87264.6549605,NA,0,108317.748632,131339.882862,138098.721446,138098.721446,118798.400101,118798.400101,204733.435151,191551.46592,94942.6065898,44371.9969509,44612.4289247,15413.2671134,0,1485.62136241,6425.66507264,6425.66507264,38039.2398161,6425.66507264
9,106322.240649,43261.2057336,43261.2057336,43261.2057336,43261.2057336,87264.6549605,87264.6549605,87264.6549605,0,NA,108317.748632,131339.882862,138098.721446,138098.721446,118798.400101,118798.400101,204733.435151,191551.46592,94942.6065898,44371.9969509,44612.4289247,15413.2671134,0,1485.62136241,6425.66507264,6425.66507264,38039.2398161,6425.66507264
10,175884.901173,214468.420067,214468.420067,214468.420067,214468.420067,345185.457963,345185.457963,345185.457963,108317.748632,108317.748632,NA,49720.2245291,7382.41390551,7382.41390551,13375.7525717,13375.7525717,95719.2974228,163306.307195,156449.998129,196639.425946,146231.214864,178657.665563,108317.748632,110134.845728,71101.6702558,71101.6702558,99194.213878,71101.6702558
11,139739.857525,190141.491406,190141.491406,190141.491406,190141.491406,343832.202588,343832.202588,343832.202588,131339.882862,131339.882862,49720.2245291,NA,56037.6488513,56037.6488513,29698.0911049,29698.0911049,65995.400679,109552.4792,127446.921628,179428.446348,136463.879755,173939.031773,131339.882862,143099.588641,107241.181316,107241.181316,141824.459802,107241.181316
12,198985.432818,241086.026462,241086.026462,241086.026462,241086.026462,375395.000341,375395.000341,375395.000341,138098.721446,138098.721446,7382.41390551,56037.6488513,NA,0,23698.4619143,23698.4619143,86314.7941205,173997.191865,181739.10338,224787.992461,174867.630673,208205.0141,138098.721446,137575.684812,99186.2711402,99186.2711402,123216.304533,99186.2711402
13,198985.432818,241086.026462,241086.026462,241086.026462,241086.026462,375395.000341,375395.000341,375395.000341,138098.721446,138098.721446,7382.41390551,56037.6488513,0,NA,23698.4619143,23698.4619143,86314.7941205,173997.191865,181739.10338,224787.992461,174867.630673,208205.0141,138098.721446,137575.684812,99186.2711402,99186.2711402,123216.304533,99186.2711402
14,166138.02035,209521.024627,209521.024627,209521.024627,209521.024627,349939.857506,349939.857506,349939.857506,118798.400101,118798.400101,13375.7525717,29698.0911049,23698.4619143,23698.4619143,NA,0,83012.1085399,145895.679651,149165.995692,194642.578616,146284.14151,181091.573855,118798.400101,124091.458276,85062.6959832,85062.6959832,115431.889175,85062.6959832
15,166138.02035,209521.024627,209521.024627,209521.024627,209521.024627,349939.857506,349939.857506,349939.857506,118798.400101,118798.400101,13375.7525717,29698.0911049,23698.4619143,23698.4619143,0,NA,83012.1085399,145895.679651,149165.995692,194642.578616,146284.14151,181091.573855,118798.400101,124091.458276,85062.6959832,85062.6959832,115431.889175,85062.6959832
16,188748.845965,250612.809561,250612.809561,250612.809561,250612.809561,411681.125856,411681.125856,411681.125856,204733.435151,204733.435151,95719.2974228,65995.400679,86314.7941205,86314.7941205,83012.1085399,83012.1085399,NA,128709.935764,187352.060896,244455.53177,205639.751876,243869.452003,204733.435151,214746.48488,176819.931084,176819.931084,208489.295808,176819.931084
17,69042.0787573,127927.652067,127927.652067,127927.652067,127927.652067,306329.245316,306329.245316,306329.245316,191551.46592,191551.46592,163306.307195,109552.4792,173997.191865,173997.191865,145895.679651,145895.679651,128709.935764,NA,89830.6150685,149760.160001,136616.868448,172856.940677,191551.46592,214084.288814,166290.610013,166290.610013,228768.069471,166290.610013
18,15402.421041,56645.5631887,56645.5631887,56645.5631887,56645.5631887,221692.091936,221692.091936,221692.091936,94942.6065898,94942.6065898,156449.998129,127446.921628,181739.10338,181739.10338,149165.995692,149165.995692,187352.060896,89830.6150685,NA,54156.0920309,40841.1115944,74127.2479144,94942.6065898,146260.785127,98698.2520258,98698.2520258,172264.845616,98698.2520258
19,58201.253709,16144.3644693,16144.3644693,16144.3644693,16144.3644693,161057.639262,161057.639262,161057.639262,44371.9969509,44371.9969509,196639.425946,179428.446348,224787.992461,224787.992461,194642.578616,194642.578616,244455.53177,149760.160001,54156.0920309,NA,41258.6096698,34071.5922235,44371.9969509,142437.215943,108171.605128,108171.605128,178070.888573,108171.605128
20,59337.4577712,60375.9219054,60375.9219054,60375.9219054,60375.9219054,195360.265932,195360.265932,195360.265932,44612.4289247,44612.4289247,146231.214864,136463.879755,174867.630673,174867.630673,146284.14151,146284.14151,205639.751876,136616.868448,40841.1115944,41258.6096698,NA,25024.930935,44612.4289247,94017.7688776,55465.8528261,55465.8528261,126921.370146,55465.8528261
21,87685.9753277,56345.5642084,56345.5642084,56345.5642084,56345.5642084,163516.285818,163516.285818,163516.285818,15413.2671134,15413.2671134,178657.665563,173939.031773,208205.0141,208205.0141,181091.573855,181091.573855,243869.452003,172856.940677,74127.2479144,34071.5922235,25024.930935,NA,15413.2671134,108184.271919,80703.843945,80703.843945,145786.676197,80703.843945
22,106322.240649,43261.2057336,43261.2057336,43261.2057336,43261.2057336,87264.6549605,87264.6549605,87264.6549605,0,0,108317.748632,131339.882862,138098.721446,138098.721446,118798.400101,118798.400101,204733.435151,191551.46592,94942.6065898,44371.9969509,44612.4289247,15413.2671134,NA,1485.62136241,6425.66507264,6425.66507264,38039.2398161,6425.66507264
23,168343.48646,165413.81678,165413.81678,165413.81678,165413.81678,246827.300307,246827.300307,246827.300307,1485.62136241,1485.62136241,110134.845728,143099.588641,137575.684812,137575.684812,124091.458276,124091.458276,214746.48488,214084.288814,146260.785127,142437.215943,94017.7688776,108184.271919,1485.62136241,NA,13895.6442491,13895.6442491,19435.9240055,13895.6442491
24,121811.821249,130243.478538,130243.478538,130243.478538,130243.478538,240699.961079,240699.961079,240699.961079,6425.66507264,6425.66507264,71101.6702558,107241.181316,99186.2711402,99186.2711402,85062.6959832,85062.6959832,176819.931084,166290.610013,98698.2520258,108171.605128,55465.8528261,80703.843945,6425.66507264,13895.6442491,NA,0,24308.4999515,0
