FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,41276.306093,41276.306093,41276.306093,41276.306093,41276.306093,41276.306093,41276.306093,24769.0700538,24769.0700538,154602.905933,124511.4658,154602.905933,154602.905933,148404.587824,148404.587824,183628.620852,66989.6783341,0,24769.0700538,39703.9431348,24769.0700538,24769.0700538,24769.0700538,24769.0700538,24769.0700538,24769.0700538,24769.0700538
1,41276.306093,NA,0,0,0,0,0,0,5454.94958261,5454.94958261,208657.560352,186685.377263,208657.560352,208657.560352,205459.111749,205459.111749,247936.776852,124818.727969,41276.306093,5454.94958261,55667.0760538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261
2,41276.306093,0,NA,0,0,0,0,0,5454.94958261,5454.94958261,208657.560352,186685.377263,208657.560352,208657.560352,205459.111749,205459.111749,247936.776852,124818.727969,41276.306093,5454.94958261,55667.0760538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261
3,41276.306093,0,0,NA,0,0,0,0,5454.94958261,5454.94958261,208657.560352,186685.377263,208657.560352,208657.560352,205459.111749,205459.111749,247936.776852,124818.727969,41276.306093,5454.94958261,55667.0760538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261
4,41276.306093,0,0,0,NA,0,0,0,5454.94958261,5454.94958261,208657.560352,186685.377263,208657.560352,208657.560352,205459.111749,205459.111749,247936.776852,124818.727969,41276.306093,5454.94958261,55667.0760538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261
5,41276.306093,0,0,0,0,NA,0,0,5454.94958261,5454.94958261,208657.560352,186685.377263,208657.560352,208657.560352,205459.111749,205459.111749,247936.776852,124818.727969,41276.306093,5454.94958261,55667.0760538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261
6,41276.306093,0,0,0,0,0,NA,0,5454.94958261,5454.94958261,208657.560352,186685.377263,208657.560352,208657.560352,205459.111749,205459.111749,247936.776852,124818.727969,41276.306093,5454.94958261,55667.0760538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261
7,41276.306093,0,0,0,0,0,0,NA,5454.94958261,5454.94958261,208657.560352,186685.377263,208657.560352,208657.560352,205459.111749,205459.111749,247936.776852,124818.727969,41276.306093,5454.94958261,55667.0760538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261
8,24769.0700538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,NA,0,56886.781091,104881.730129,56886.781091,56886.781091,82568.5247759,82568.5247759,174052.61276,122706.266002,24769.0700538,0,21907.556904,0,0,0,0,0,0,0
9,24769.0700538,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,5454.94958261,0,NA,56886.781091,104881.730129,56886.781091,56886.781091,82568.5247759,82568.5247759,174052.61276,122706.266002,24769.0700538,0,21907.556904,0,0,0,0,0,0,0
10,154602.905933,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,56886.781091,56886.781091,NA,46415.5228454,0,0,8051.94614595,8051.94614595,80300.6858939,160852.091047,154602.905933,56886.781091,142789.887107,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091
11,124511.4658,186685.377263,186685.377263,186685.377263,186685.377263,186685.377263,186685.377263,186685.377263,104881.730129,104881.730129,46415.5228454,NA,46415.5228454,46415.5228454,27195.0754842,27195.0754842,65320.7561519,107468.486239,124511.4658,104881.730129,132548.05801,104881.730129,104881.730129,104881.730129,104881.730129,104881.730129,104881.730129,104881.730129
12,154602.905933,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,56886.781091,56886.781091,0,46415.5228454,NA,0,8051.94614595,8051.94614595,80300.6858939,160852.091047,154602.905933,56886.781091,142789.887107,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091
13,154602.905933,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,208657.560352,56886.781091,56886.781091,0,46415.5228454,0,NA,8051.94614595,8051.94614595,80300.6858939,160852.091047,154602.905933,56886.781091,142789.887107,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091,56886.781091
14,148404.587824,205459.111749,205459.111749,205459.111749,205459.111749,205459.111749,205459.111749,205459.111749,82568.5247759,82568.5247759,8051.94614595,27195.0754842,8051.94614595,8051.94614595,NA,0,80290.9142087,144453.613202,148404.587824,82568.5247759,142832.826491,82568.5247759,82568.5247759,82568.5247759,82568.5247759,82568.5247759,82568.5247759,82568.5247759
