FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,166411.919933,166411.919933,166411.919933,166411.919933,166411.919933,166411.919933,166411.919933,151132.757562,151132.757562,206894.949123,146944.375603,206894.949123,206894.949123,172332.467492,172332.467492,206320.063205,93717.7335357,0,57988.2418567,74003.864458,151132.757562,151132.757562,151132.757562,151132.757562,151132.757562,151132.757562,151132.757562
1,166411.919933,NA,0,0,0,0,0,0,174863.745892,174863.745892,352675.235855,306852.650893,352675.235855,352675.235855,324369.849022,324369.849022,372136.580999,248856.11684,166411.919933,127839.38315,172985.895983,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892
2,166411.919933,0,NA,0,0,0,0,0,174863.745892,174863.745892,352675.235855,306852.650893,352675.235855,352675.235855,324369.849022,324369.849022,372136.580999,248856.11684,166411.919933,127839.38315,172985.895983,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892
3,166411.919933,0,0,NA,0,0,0,0,174863.745892,174863.745892,352675.235855,306852.650893,352675.235855,352675.235855,324369.849022,324369.849022,372136.580999,248856.11684,166411.919933,127839.38315,172985.895983,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892
4,166411.919933,0,0,0,NA,0,0,0,174863.745892,174863.745892,352675.235855,306852.650893,352675.235855,352675.235855,324369.849022,324369.849022,372136.580999,248856.11684,166411.919933,127839.38315,172985.895983,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892
5,166411.919933,0,0,0,0,NA,0,0,174863.745892,174863.745892,352675.235855,306852.650893,352675.235855,352675.235855,324369.849022,324369.849022,372136.580999,248856.11684,166411.919933,127839.38315,172985.895983,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892
6,166411.919933,0,0,0,0,0,NA,0,174863.745892,174863.745892,352675.235855,306852.650893,352675.235855,352675.235855,324369.849022,324369.849022,372136.580999,248856.11684,166411.919933,127839.38315,172985.895983,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892
7,166411.919933,0,0,0,0,0,0,NA,174863.745892,174863.745892,352675.235855,306852.650893,352675.235855,352675.235855,324369.849022,324369.849022,372136.580999,248856.11684,166411.919933,127839.38315,172985.895983,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892
8,151132.757562,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,NA,0,222074.167027,210686.225927,222074.167027,222074.167027,208267.922876,208267.922876,288957.31699,236273.318693,151132.757562,102418.023515,82428.0531681,0,0,0,0,0,0,0
9,151132.757562,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,174863.745892,0,NA,222074.167027,210686.225927,222074.167027,222074.167027,208267.922876,208267.922876,288957.31699,236273.318693,151132.757562,102418.023515,82428.0531681,0,0,0,0,0,0,0
10,206894.949123,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,222074.167027,222074.167027,NA,75415.5144873,0,0,38292.8564023,38292.8564023,113885.820394,201949.044131,206894.949123,225413.656643,180383.011829,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027
11,146944.375603,306852.650893,306852.650893,306852.650893,306852.650893,306852.650893,306852.650893,306852.650893,210686.225927,210686.225927,75415.5144873,NA,75415.5144873,75415.5144873,37755.2887202,37755.2887202,78419.3259128,126824.69442,146944.375603,180247.122004,145344.035808,210686.225927,210686.225927,210686.225927,210686.225927,210686.225927,210686.225927,210686.225927
12,206894.949123,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,222074.167027,222074.167027,0,75415.5144873,NA,0,38292.8564023,38292.8564023,113885.820394,201949.044131,206894.949123,225413.656643,180383.011829,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027
13,206894.949123,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,352675.235855,222074.167027,222074.167027,0,75415.5144873,0,NA,38292.8564023,38292.8564023,113885.820394,201949.044131,206894.949123,225413.656643,180383.011829,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027,222074.167027
14,172332.467492,324369.849022,324369.849022,324369.849022,324369.849022,324369.849022,324369.849022,324369.849022,208267.922876,208267.922876,38292.8564023,37755.2887202,38292.8564023,38292.8564023,NA,0,94347.8038197,163737.143664,172332.467492,196530.474753,154981.509172,208267.922876,208267.922876,208267.922876,208267.922876,208267.922876,208267.922876,208267.922876
15,172332.467492,324369.849022,324369.849022,324369.849022,324369.849022,324369.849022,324369.849022,324369.849022,208267.922876,208267.922876,38292.8564023,37755.2887202,38292.8564023,38292.8564023,0,NA,94347.8038197,163737.143664,172332.467492,196530.474753,154981.509172,208267.922876,208267.922876,208267.922876,208267.922876,208267.922876,208267.922876,208267.922876
