FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,43051.7066596,43051.7066596,43051.7066596,43051.7066596,43051.7066596,43051.7066596,43051.7066596,75414.8877089,75414.8877089,165332.630906,133127.582264,165332.630906,165332.630906,156996.439166,156996.439166,188566.393336,68229.1486484,2761.11346306,29260.0788821,45571.8201669,75414.8877089,75414.8877089,75414.8877089,75414.8877089,75414.8877089,171771.683115,75414.8877089
1,43051.7066596,NA,0,0,0,0,0,0,18331.1908869,18331.1908869,210957.435278,189401.515019,210957.435278,210957.435278,207303.058377,207303.058377,248718.311778,126464.145054,55706.8876114,12040.4021516,57086.5917003,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,189420.210826,18331.1908869
2,43051.7066596,0,NA,0,0,0,0,0,18331.1908869,18331.1908869,210957.435278,189401.515019,210957.435278,210957.435278,207303.058377,207303.058377,248718.311778,126464.145054,55706.8876114,12040.4021516,57086.5917003,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,189420.210826,18331.1908869
3,43051.7066596,0,0,NA,0,0,0,0,18331.1908869,18331.1908869,210957.435278,189401.515019,210957.435278,210957.435278,207303.058377,207303.058377,248718.311778,126464.145054,55706.8876114,12040.4021516,57086.5917003,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,189420.210826,18331.1908869
4,43051.7066596,0,0,0,NA,0,0,0,18331.1908869,18331.1908869,210957.435278,189401.515019,210957.435278,210957.435278,207303.058377,207303.058377,248718.311778,126464.145054,55706.8876114,12040.4021516,57086.5917003,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,189420.210826,18331.1908869
5,43051.7066596,0,0,0,0,NA,0,0,18331.1908869,18331.1908869,210957.435278,189401.515019,210957.435278,210957.435278,207303.058377,207303.058377,248718.311778,126464.145054,55706.8876114,12040.4021516,57086.5917003,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,189420.210826,18331.1908869
6,43051.7066596,0,0,0,0,0,NA,0,18331.1908869,18331.1908869,210957.435278,189401.515019,210957.435278,210957.435278,207303.058377,207303.058377,248718.311778,126464.145054,55706.8876114,12040.4021516,57086.5917003,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,189420.210826,18331.1908869
7,43051.7066596,0,0,0,0,0,0,NA,18331.1908869,18331.1908869,210957.435278,189401.515019,210957.435278,210957.435278,207303.058377,207303.058377,248718.311778,126464.145054,55706.8876114,12040.4021516,57086.5917003,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,189420.210826,18331.1908869
8,75414.8877089,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,NA,0,70739.0066487,106180.529564,70739.0066487,70739.0066487,85113.65026,85113.65026,176552.913636,164519.260372,73601.1560739,14541.6942685,21918.6497708,0,0,0,0,0,2736.09081642,0
9,75414.8877089,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,0,NA,70739.0066487,106180.529564,70739.0066487,70739.0066487,85113.65026,85113.65026,176552.913636,164519.260372,73601.1560739,14541.6942685,21918.6497708,0,0,0,0,0,2736.09081642,0
10,165332.630906,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,70739.0066487,70739.0066487,NA,48976.1161252,0,0,11578.9779339,11578.9779339,85599.3638545,162985.643173,155465.447886,185854.803108,144683.571104,70739.0066487,70739.0066487,70739.0066487,70739.0066487,70739.0066487,94424.3312468,70739.0066487
11,133127.582264,189401.515019,189401.515019,189401.515019,189401.515019,189401.515019,189401.515019,189401.515019,106180.529564,106180.529564,48976.1161252,NA,48976.1161252,48976.1161252,29017.7763612,29017.7763612,66374.5645539,109432.10254,126466.652393,162534.966033,134951.800795,106180.529564,106180.529564,106180.529564,106180.529564,106180.529564,134533.955065,106180.529564
12,165332.630906,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,70739.0066487,70739.0066487,0,48976.1161252,NA,0,11578.9779339,11578.9779339,85599.3638545,162985.643173,155465.447886,185854.803108,144683.571104,70739.0066487,70739.0066487,70739.0066487,70739.0066487,70739.0066487,94424.3312468,70739.0066487
13,165332.630906,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,210957.435278,70739.0066487,70739.0066487,0,48976.1161252,0,NA,11578.9779339,11578.9779339,85599.3638545,162985.643173,155465.447886,185854.803108,144683.571104,70739.0066487,70739.0066487,70739.0066487,70739.0066487,70739.0066487,94424.3312468,70739.0066487
14,156996.439166,207303.058377,207303.058377,207303.058377,207303.058377,207303.058377,207303.058377,207303.058377,85113.65026,85113.65026,11578.9779339,29017.7763612,11578.9779339,11578.9779339,NA,0,82549.5733992,145537.451514,148218.231403,181094.791473,144844.191911,85113.65026,85113.65026,85113.65026,85113.65026,85113.65026,110699.254555,85113.65026
15,156996.439166,207303.058377,207303.058377,207303.058377,207303.058377,207303.058377,207303.058377,207303.058377,85113.65026,85113.65026,11578.9779339,29017.7763612,11578.9779339,11578.9779339,0,NA,82549.5733992,145537.451514,148218.231403,181094.791473,144844.191911,85113.65026,85113.65026,85113.65026,85113.65026,85113.65026,110699.254555,85113.65026
16,188566.393336,248718.311778,248718.311778,248718.311778,248718.311778,248718.311778,248718.311778,248718.311778,176552.913636,176552.913636,85599.3638545,66374.5645539,85599.3638545,85599.3638545,82549.5733992,82549.5733992,NA,128957.261479,186680.59009,224659.749384,204929.206736,176552.913636,176552.913636,176552.913636,176552.913636,176552.913636,203119.045882,176552.913636
17,68229.1486484,126464.145054,126464.145054,126464.145054,126464.145054,126464.145054,126464.145054,126464.145054,164519.260372,164519.260372,162985.643173,109432.10254,162985.643173,162985.643173,145537.451514,145537.451514,128957.261479,NA,89818.6223697,124726.741854,134904.426369,164519.260372,164519.260372,164519.260372,164519.260372,164519.260372,220370.798672,164519.260372
18,2761.11346306,55706.8876114,55706.8876114,55706.8876114,55706.8876114,55706.8876114,55706.8876114,55706.8876114,73601.1560739,73601.1560739,155465.447886,126466.652393,155465.447886,155465.447886,148218.231403,148218.231403,186680.59009,89818.6223697,NA,31742.3767219,41117.5847996,73601.1560739,73601.1560739,73601.1560739,73601.1560739,73601.1560739,163441.95166,73601.1560739
19,29260.0788821,12040.4021516,12040.4021516,12040.4021516,12040.4021516,12040.4021516,12040.4021516,12040.4021516,14541.6942685,14541.6942685,185854.803108,162534.966033,185854.803108,185854.803108,181094.791473,181094.791473,224659.749384,124726.741854,31742.3767219,NA,37579.2157052,14541.6942685,14541.6942685,14541.6942685,14541.6942685,14541.6942685,168726.700635,14541.6942685
20,45571.8201669,57086.5917003,57086.5917003,57086.5917003,57086.5917003,57086.5917003,57086.5917003,57086.5917003,21918.6497708,21918.6497708,144683.571104,134951.800795,144683.571104,144683.571104,144844.191911,144844.191911,204929.206736,134904.426369,41117.5847996,37579.2157052,NA,21918.6497708,21918.6497708,21918.6497708,21918.6497708,21918.6497708,118289.94586,21918.6497708
21,75414.8877089,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,0,0,70739.0066487,106180.529564,70739.0066487,70739.0066487,85113.65026,85113.65026,176552.913636,164519.260372,73601.1560739,14541.6942685,21918.6497708,NA,0,0,0,0,2736.09081642,0
22,75414.8877089,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,0,0,70739.0066487,106180.529564,70739.0066487,70739.0066487,85113.65026,85113.65026,176552.913636,164519.260372,73601.1560739,14541.6942685,21918.6497708,0,NA,0,0,0,2736.09081642,0
23,75414.8877089,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,0,0,70739.0066487,106180.529564,70739.0066487,70739.0066487,85113.65026,85113.65026,176552.913636,164519.260372,73601.1560739,14541.6942685,21918.6497708,0,0,NA,0,0,2736.09081642,0
24,75414.8877089,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,0,0,70739.0066487,106180.529564,70739.0066487,70739.0066487,85113.65026,85113.65026,176552.913636,164519.260372,73601.1560739,14541.6942685,21918.6497708,0,0,0,NA,0,2736.09081642,0
25,75414.8877089,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,0,0,70739.0066487,106180.529564,70739.0066487,70739.0066487,85113.65026,85113.65026,176552.913636,164519.260372,73601.1560739,14541.6942685,21918.6497708,0,0,0,0,NA,2736.09081642,0
26,171771.683115,189420.210826,189420.210826,189420.210826,189420.210826,189420.210826,189420.210826,189420.210826,2736.09081642,2736.09081642,94424.3312468,134533.955065,94424.3312468,94424.3312468,110699.254555,110699.254555,203119.045882,220370.798672,163441.95166,168726.700635,118289.94586,2736.09081642,2736.09081642,2736.09081642,2736.09081642,2736.09081642,NA,2736.09081642
27,75414.8877089,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,18331.1908869,0,0,70739.0066487,106180.529564,70739.0066487,70739.0066487,85113.65026,85113.65026,176552.913636,164519.260372,73601.1560739,14541.6942685,21918.6497708,0,0,0,0,0,2736.09081642,NA
