FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,NA,41730.1607414,41730.1607414,41730.1607414,41730.1607414,41730.1607414,41730.1607414,41730.1607414,68175.3495232,68175.3495232,154494.628588,124422.164494,154494.628588,154494.628588,148395.502482,148395.502482,183612.887808,67311.4830309,0,25424.9565648,39257.4941349,68175.3495232,68175.3495232,68175.3495232,68175.3495232,68175.3495232,68175.3495232,68175.3495232
1,41730.1607414,NA,0,0,0,0,0,0,5692.61627953,5692.61627953,208953.224386,186956.297217,208953.224386,208953.224386,206244.423882,206244.423882,248382.66722,124764.790617,41730.1607414,11249.1311913,55253.5517112,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953
2,41730.1607414,0,NA,0,0,0,0,0,5692.61627953,5692.61627953,208953.224386,186956.297217,208953.224386,208953.224386,206244.423882,206244.423882,248382.66722,124764.790617,41730.1607414,11249.1311913,55253.5517112,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953
3,41730.1607414,0,0,NA,0,0,0,0,5692.61627953,5692.61627953,208953.224386,186956.297217,208953.224386,208953.224386,206244.423882,206244.423882,248382.66722,124764.790617,41730.1607414,11249.1311913,55253.5517112,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953
4,41730.1607414,0,0,0,NA,0,0,0,5692.61627953,5692.61627953,208953.224386,186956.297217,208953.224386,208953.224386,206244.423882,206244.423882,248382.66722,124764.790617,41730.1607414,11249.1311913,55253.5517112,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953
5,41730.1607414,0,0,0,0,NA,0,0,5692.61627953,5692.61627953,208953.224386,186956.297217,208953.224386,208953.224386,206244.423882,206244.423882,248382.66722,124764.790617,41730.1607414,11249.1311913,55253.5517112,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953
6,41730.1607414,0,0,0,0,0,NA,0,5692.61627953,5692.61627953,208953.224386,186956.297217,208953.224386,208953.224386,206244.423882,206244.423882,248382.66722,124764.790617,41730.1607414,11249.1311913,55253.5517112,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953
7,41730.1607414,0,0,0,0,0,0,NA,5692.61627953,5692.61627953,208953.224386,186956.297217,208953.224386,208953.224386,206244.423882,206244.423882,248382.66722,124764.790617,41730.1607414,11249.1311913,55253.5517112,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953
8,68175.3495232,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,NA,0,56961.4090097,105179.610258,56961.4090097,56961.4090097,83020.743586,83020.743586,174451.639815,164811.451576,68175.3495232,0.0,22029.6070298,0,0,0,0,0,0,0
9,68175.3495232,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,0,NA,56961.4090097,105179.610258,56961.4090097,56961.4090097,83020.743586,83020.743586,174451.639815,164811.451576,68175.3495232,0.0,22029.6070298,0,0,0,0,0,0,0
10,154494.628588,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,56961.4090097,56961.4090097,NA,45726.4646872,0,0,9158.52869984,9158.52869984,80357.6524571,160835.7845,154494.628588,183911.355218,143359.745721,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097
11,124422.164494,186956.297217,186956.297217,186956.297217,186956.297217,186956.297217,186956.297217,186956.297217,105179.610258,105179.610258,45726.4646872,NA,45726.4646872,45726.4646872,26878.5017731,26878.5017731,65295.5738991,107415.263617,124422.164494,160941.769694,132979.720313,105179.610258,105179.610258,105179.610258,105179.610258,105179.610258,105179.610258,105179.610258
12,154494.628588,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,56961.4090097,56961.4090097,0,45726.4646872,NA,0,9158.52869984,9158.52869984,80357.6524571,160835.7845,154494.628588,183911.355218,143359.745721,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097
13,154494.628588,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,208953.224386,56961.4090097,56961.4090097,0,45726.4646872,0,NA,9158.52869984,9158.52869984,80357.6524571,160835.7845,154494.628588,183911.355218,143359.745721,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097,56961.4090097
14,148395.502482,206244.423882,206244.423882,206244.423882,206244.423882,206244.423882,206244.423882,206244.423882,83020.743586,83020.743586,9158.52869984,26878.5017731,9158.52869984,9158.52869984,NA,0,80290.9142087,144663.338106,148395.502482,180272.104013,142891.271153,83020.743586,83020.743586,83020.743586,83020.743586,83020.743586,83020.743586,83020.743586
15,148395.502482,206244.423882,206244.423882,206244.423882,206244.423882,206244.423882,206244.423882,206244.423882,83020.743586,83020.743586,9158.52869984,26878.5017731,9158.52869984,9158.52869984,0,NA,80290.9142087,144663.338106,148395.502482,180272.104013,142891.271153,83020.743586,83020.743586,83020.743586,83020.743586,83020.743586,83020.743586,83020.743586
16,183612.887808,248382.66722,248382.66722,248382.66722,248382.66722,248382.66722,248382.66722,248382.66722,174451.639815,174451.639815,80357.6524571,65295.5738991,80357.6524571,80357.6524571,80290.9142087,80290.9142087,NA,128224.514379,183612.887808,224562.364403,203555.562797,174451.639815,174451.639815,174451.639815,174451.639815,174451.639815,174451.639815,174451.639815
17,67311.4830309,124764.790617,124764.790617,124764.790617,124764.790617,124764.790617,124764.790617,124764.790617,164811.451576,164811.451576,160835.7845,107415.263617,160835.7845,160835.7845,144663.338106,144663.338106,128224.514379,NA,67311.4830309,122942.887796,133222.0661,164811.451576,164811.451576,164811.451576,164811.451576,164811.451576,164811.451576,164811.451576
18,0,41730.1607414,41730.1607414,41730.1607414,41730.1607414,41730.1607414,41730.1607414,41730.1607414,68175.3495232,68175.3495232,154494.628588,124422.164494,154494.628588,154494.628588,148395.502482,148395.502482,183612.887808,67311.4830309,NA,25424.9565648,39257.4941349,68175.3495232,68175.3495232,68175.3495232,68175.3495232,68175.3495232,68175.3495232,68175.3495232
19,25424.9565648,11249.1311913,11249.1311913,11249.1311913,11249.1311913,11249.1311913,11249.1311913,11249.1311913,0.0,0.0,183911.355218,160941.769694,183911.355218,183911.355218,180272.104013,180272.104013,224562.364403,122942.887796,25424.9565648,NA,35995.8995336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,39257.4941349,55253.5517112,55253.5517112,55253.5517112,55253.5517112,55253.5517112,55253.5517112,55253.5517112,22029.6070298,22029.6070298,143359.745721,132979.720313,143359.745721,143359.745721,142891.271153,142891.271153,203555.562797,133222.0661,39257.4941349,35995.8995336,NA,22029.6070298,22029.6070298,22029.6070298,22029.6070298,22029.6070298,22029.6070298,22029.6070298
21,68175.3495232,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,0,0,56961.4090097,105179.610258,56961.4090097,56961.4090097,83020.743586,83020.743586,174451.639815,164811.451576,68175.3495232,0.0,22029.6070298,NA,0,0,0,0,0,0
22,68175.3495232,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,0,0,56961.4090097,105179.610258,56961.4090097,56961.4090097,83020.743586,83020.743586,174451.639815,164811.451576,68175.3495232,0.0,22029.6070298,0,NA,0,0,0,0,0
23,68175.3495232,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,5692.61627953,0,0,56961.4090097,105179.610258,56961.4090097,56961.4090097,83020.743586,83020.743586,174451.639815,164811.451576,68175.3495232,0.0,22029.6070298,0,0,NA,0,0,0,0
